iter	Passed	Remaining
0	4	404
1	8	439
2	13	431
3	16	400
4	21	404
5	25	397
6	29	391
7	34	397
8	38	394
9	42	379
10	44	362
11	47	346
12	49	328
13	51	314
14	53	300
15	54	286
16	56	274
17	57	262
18	59	252
19	60	241
20	61	232
21	63	223
22	64	215
23	65	207
24	66	199
25	67	192
26	68	185
27	69	179
28	70	173
29	71	167
30	72	162
31	73	156
32	74	151
33	75	147
34	76	142
35	77	137
36	78	133
37	79	129
38	80	125
39	80	121
40	81	117
41	82	113
42	82	110
43	83	106
44	84	103
45	85	100
46	86	97
47	87	94
48	88	91
49	89	89
50	89	86
51	90	83
52	91	81
53	92	78
54	93	76
55	93	73
56	94	71
57	95	69
58	96	67
59	97	64
60	98	62
61	99	60
62	99	58
63	100	56
64	101	54
65	102	52
66	103	50
67	104	49
68	105	47
69	106	45
70	106	43
71	107	41
72	108	40
73	109	38
74	110	36
75	111	35
76	112	33
77	113	31
78	113	30
79	114	28
80	115	27
81	116	25
82	117	24
83	118	22
84	119	21
85	120	19
86	121	18
87	121	16
88	122	15
89	123	13
90	124	12
91	125	10
92	126	9
93	126	8
94	127	6
95	128	5
96	129	4
97	130	2
98	131	1
99	132	0
